encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,l1d_size,l1i_size,l2_size,l3_size,num_cores,l1d_misses,l1i_misses,l2_misses,l3_misses
640,6,1706.6666666667,6.6666666667,512,1,2048,4,4,3,32,32,256,4096,1,29059646,26154966,18241664,3537791
512,6,1962.6666666667,3.3333333333,640,6,1706.6666666667,6,2.3333333333,2.5,32,32,256,4096,1,29428416,26201085,18359737,3537114
640,6,1962.6666666667,6.3333333333,640,6,1536,5.3333333333,5,1.8333333333,32,32,512,8192,1,28860627,25704919,10733433,2818123
512,6,1024,3.3333333333,640,6,1365.3333333333,3.6666666667,4.3333333333,2,32,32,256,4096,1,29181149,26232349,18344608,3538797
512,6,1621.3333333333,5.6666666667,640,2,768,3,5,1,64,64,512,8192,1,20327415,10460551,11220345,2817216
640,6,1024,3.6666666667,640,6,1621.3333333333,5.3333333333,4,1.8333333333,64,64,512,8192,1,20439966,10452768,11238361,2817021
640,6,1536,6,640,2,1280,4,2,2.5,32,32,512,8192,1,28945549,25743151,10876248,2818390
512,6,1706.6666666667,7.3333333333,640,1,512,4,4,1,32,32,512,8192,1,28938130,25686508,10705704,2817424
512,6,1280,4.6666666667,512,1,2048,2,2,1,64,64,512,8192,1,20423918,10469444,11203462,2815828
512,6,2048,5.6666666667,512,3,1024,2.6666666667,5.3333333333,1.3333333333,32,32,512,4096,1,28810103,25743799,10791678,3559274
640,6,2560,4,640,2,2048,5,6,1,64,64,512,8192,1,20375497,10476062,11220211,2817061
640,6,1706.6666666667,4.6666666667,512,5,2355.2,5.2,4.8,2.4,64,64,512,8192,1,20450949,10474139,11257090,2816500
512,6,1365.3333333333,4.6666666667,640,1,2048,4,4,3,32,32,256,4096,1,29105505,26230052,18311571,3537068
640,6,1536,5,640,2,512,8,4,2,32,32,256,4096,1,29229878,26246134,18377914,3535879
512,6,1280,3.6666666667,512,3,1365.3333333333,4.6666666667,5.3333333333,1.6666666667,32,32,256,4096,1,29255915,26162955,18315417,3537648
512,6,1450.6666666667,4,512,4,640,5.5,5.5,1,32,32,512,4096,1,29062034,25718396,10770287,3562314
640,6,1792,4.6666666667,512,5,1843.2,6,5.6,2,32,32,256,4096,1,29288560,26265524,18354417,3537398
640,6,1706.6666666667,3.3333333333,640,6,1621.3333333333,4,4.3333333333,1.8333333333,32,32,512,8192,1,28818608,25695453,10755299,2817980
512,6,1194.6666666667,4.3333333333,640,2,3072,5,3,3,32,32,512,8192,1,28660330,25670691,10664886,2819155
512,6,1194.6666666667,5,512,5,1843.2,2.8,4,1.8,32,32,256,4096,1,29095969,26250688,18322784,3537998
